block_height,time_unix,block_spacing_seconds,bits_compact,bits_hex,difficulty_threshold,pct_difficulty_threshold_update
3329643,1777824910,,469870578,0x1c01a7f2,174400985943428214604569145881786377251734690915246506415258337280,
3329644,1777824921,11,469870695,0x1c01a867,174588997694606516466807555446590293276229788665519093176988598272,0.107804
3329645,1777824974,53,469870756,0x1c01a8a4,174687020915306314873615615134223104194983643048139843539941982208,0.056145
3329646,1777825022,48,469870690,0x1c01a862,174580963004385221515429845636128587463217177650550179212812091392,-0.060713
3329647,1777825090,68,469865940,0x1c0195d4,166948007294155017706605525697508065101236713430081913245130555392,-4.372158
3329648,1777825158,68,469864885,0x1c0191b5,165252687657461782965908755690088138555575789271641066803887603712,-1.015478
3329649,1777825196,38,469864826,0x1c01917a,165157878312850502539651779926640009962026979295007882026604822528,-0.057372
3329650,1777825233,37,469864096,0x1c018ea0,163984813540541439638506147599230961262185771109546443256834818048,-0.710269
3329651,1777825584,351,469857308,0x1c01741c,153076918096111413648127308916419149516265057187748845490809077760,-6.651772
3329652,1777825692,108,469856758,0x1c0171f6,152193102171768968996579229765631510084877845541168309431393320960,-0.577367
3329653,1777825890,198,469857234,0x1c0173d2,152958004680836248367737203721585903483678414166208918820996775936,0.502587
3329654,1777825915,25,469857718,0x1c0175b6,153735762694257599661099513374279026183299160415199790553282641920,0.508478
3329655,1777826042,127,469857770,0x1c0175ea,153819323472559067155427695403080766638630314970876495780718313472,0.054354
3329656,1777826259,217,469856865,0x1c017261,152365044542504680956062219709512014483347721261503068264770568192,-0.945446
3329657,1777826329,70,469860257,0x1c017fa1,157815778388631175970700555126733238031103033816414301562112835584,3.577418
3329658,1777826340,11,469861824,0x1c0185c0,160333850303985013732474809725431839829255325907671937935030091776,1.595577
3329659,1777826368,28,469861636,0x1c018504,160031745951664323560672920852071701259981151744840772881993433088,-0.188422
3329660,1777826372,4,469861507,0x1c018483,159824450943954913815128007742159691284255787558642792606239555584,-0.129534
3329661,1777826382,10,469862476,0x1c01884c,161381573908841875392128169009638277846099802259618318863646588928,0.974271
3329662,1777826431,49,469865752,0x1c019518,166645902941834327534803636824147926531962539267250748192093896704,3.262038
3329663,1777826439,8,469865446,0x1c0193e6,166154179900291076510487796423891530775590745151153213584491675648,-0.295071
3329664,1777826446,7,469864892,0x1c0191bc,165263936223771595897837549424734526693793444692597546353734713344,-0.535794
3329665,1777826712,266,469865218,0x1c019302,165787798026200026727664229066837745702215682868570736818042961920,0.316985
3329666,1777826944,232,469864849,0x1c019191,165194837887868459315989245054763856701884989963864886261816754176,-0.357662
3329667,1777826967,23,469864850,0x1c019192,165196444825912718306264787016856197864487512166858669054652055552,0.000973
3329668,1777826979,12,469864818,0x1c019172,165145022808496430617447444229901280661206801671057619683922411520,-0.031128
3329669,1777827082,103,469864494,0x1c01902e,164624374882156517768171848511982743977989607901071994805284765696,-0.315267
3329670,1777827132,50,469863783,0x1c018d67,163481841932688375682261513464328177367596321572492429099385487360,-0.694024
3329671,1777827158,26,469868038,0x1c019e06,170319363311010379304692562167239824241328295311038212613592842240,4.182435
3329672,1777827166,8,469872566,0x1c01afb6,177595578775415087272346566521360608505548830466886698571837472768,4.272101
3329673,1777827274,108,469873197,0x1c01b22d,178609556681342510136213544601627882107740340555963640850912641024,0.570948
3329674,1777827277,3,469867458,0x1c019bc2,169387339245340164944878224153681949931865417574644192769118044160,-5.163339
3329675,1777827292,15,469867730,0x1c019cd2,169824426393378610299825637842798746159751456788953112420320018432,0.258040
3329676,1777827352,60,469865155,0x1c0192c3,165686560929411710340305085455020252458256784079962420869418975232,-2.436555
3329677,1777827405,53,469865361,0x1c019391,166017590166529062337066729646042531954376357896681676193491058688,0.199792
3329678,1777827463,58,469863216,0x1c018b30,162570708061593528196029220957970738171966232475017585561769607168,-2.076215
3329679,1777827475,12,469860969,0x1c018269,158959918276143577046886432136480145804098842347987650060847415296,-2.221058
3329680,1777827489,14,469859398,0x1c017c46,156435418608612703324010009689412179355536461444754882516588953600,-1.588136
3329681,1777827523,34,469859146,0x1c017b4a,156030470221459437774573435242142206379700866290321618722093006848,-0.258860
3329682,1777827680,157,469859477,0x1c017c95,156562366714109163555777824694707131201135715481263723150577762304,0.340893
3329683,1777827725,45,469860127,0x1c017f1f,157606876442877507234880100054728886892775147427222538493523656704,0.667152
3329684,1777827760,35,469860828,0x1c0181dc,158733340011903059418035015481460041877143211725864276271069921280,0.714730
3329685,1777827830,70,469859878,0x1c017e26,157206748869857018656270151493735937404747118881770623077533614080,-0.961733
3329686,1777827907,77,469859680,0x1c017d60,156888575137093738581712842999452387209447722689001630096143941632,-0.202392
3329687,1777827970,63,469859969,0x1c017e81,157352980231884586771344470044138983201576639354204857225546039296,0.296010
3329688,1777828009,39,469857601,0x1c017541,153547750943079297798861103809475110158804062664927203791552380928,-2.418276
3329689,1777828016,7,469853301,0x1c016475,146637917352765639614030666812408110967958589791661194599756464128,-4.500120
3329690,1777828104,88,469852512,0x1c016160,145370043235845296286628058721550933674568571629566571052703678464,-0.864629
3329691,1777828111,7,469852493,0x1c01614d,145339511413004375471392761441796451585120649772684697988832952320,-0.021003
3329692,1777828180,69,469851226,0x1c015c5a,143303520910928234792281095470800198567725018579561899466506108928,-1.400851
3329693,1777828336,156,469850568,0x1c0159c8,142246155677805819190974484414039713575265409009652821780877803520,-0.737850
3329694,1777828355,19,469850009,0x1c015799,141347877311065043626946527604421003680455497536128240585944334336,-0.631496
3329695,1777828367,12,469849181,0x1c01545d,140017332610418599678797782991962521045567113457276088118314795008,-0.941326
3329696,1777828371,4,469848054,0x1c014ff6,138206313434538717638261991713894030792524590683282880592930144256,-1.293425
3329697,1777828405,34,469847434,0x1c014d8a,137210011847098143667425975216642509978960824827137549035043291136,-0.720880
3329698,1777828431,26,469847810,0x1c014f02,137814220551739524011029752963362787117509173152799879141116608512,0.440353
3329699,1777828504,73,469848926,0x1c01535e,139607563409132557158534582658415524581923951693861475945312944128,1.301276
3329700,1777828517,13,469847695,0x1c014e8f,137629422676649740129342427322743553418219119808514857965056950272,-1.416929
3329701,1777828536,19,469846227,0x1c0148d3,135270437627677542404846826971186726717716525813641718082834530304,-1.714012
3329702,1777828636,100,469845290,0x1c01452a,133764736680206868516664008490663057359153221608467241196157140992,-1.113104
3329703,1777828641,5,469844844,0x1c01436c,133048042312467358853772293397478898838428319073240115591612727296,-0.535787
3329704,1777828658,17,469843894,0x1c013fb6,131521451170421318092007429409754794366032226229146462398076420096,-1.147398
3329705,1777828674,16,469841579,0x1c0136ab,127801389597961755604127787165985002941193326298539296984353734656,-2.828483
3329706,1777828711,37,469840179,0x1c013133,125551676335999169218369040236707375297662242107243387014931808256,-1.760320
3329707,1777828845,134,469839211,0x1c012d6b,123996160309156466631644420931321129898420749609261643550360076288,-1.238945
3329708,1777828872,27,469838970,0x1c012c7a,123608888240490049975238808067066909711212898687759990477052444672,-0.312326
3329709,1777829025,153,469837063,0x1c012507,120544457390088155519780286356972312628203057578616204540132720640,-2.479135
3329710,1777829186,161,469835601,0x1c011f51,118195113969381511736937937777969532903315596801705761414922108928,-1.948944
3329711,1777829215,29,469834435,0x1c011ac3,116321424209775529075656009978299737308774708110955024968960704512,-1.585251
3329712,1777829238,23,469834074,0x1c01195a,115741319575798033586185361662964577609264192830199436755416907776,-0.498708
3329713,1777829246,8,469834043,0x1c01193b,115691504496426004887643560838102001568586004537392170177522565120,-0.043040
3329714,1777829285,39,469833617,0x1c011791,115006948889571675030262684986764666299911546062040700429684178944,-0.591708
3329715,1777829426,141,469834183,0x1c0119c7,115916475822622263526219435531029764332939112956521761174464757760,0.790845
3329716,1777829435,9,469833510,0x1c011726,114835006518835963070779695042884161901441670341705941596306931712,-0.932973
3329717,1777829480,45,469832859,0x1c01149b,113788889852023360401401877720770065047199716192753343460525735936,-0.910974
3329718,1777829684,204,469832177,0x1c0111f1,112692958105838729033482259573793392152279573750993478746850197504,-0.963127
3329719,1777829723,39,469831475,0x1c010f33,111564887598768917860051802184969896005308987249357958176468631552,-1.001012
3329720,1777829731,8,469830843,0x1c010cbb,110549302754797236005909282142610281240514954957287233104558161920,-0.910309
3329721,1777829841,110,469831701,0x1c011015,111928055596771449662324285617838998753479005125952869357246742528,1.247184
3329722,1777829926,85,469830107,0x1c0109db,109366596354222619163110398042647185565058613553863097577776349184,-2.288487
3329723,1777830234,308,469829932,0x1c01092c,109085382196477295864890554676487482109617228029951108831598608384,-0.257130
3329724,1777830400,166,469832009,0x1c011149,112422992514403218667191209942280076835055843648037969550519566336,3.059631
3329725,1777830769,369,469830701,0x1c010c2d,110321117552512459386782323525497836150956802132170076521945366528,-1.869613
3329726,1777830791,22,469830288,0x1c010a90,109657452140233496402983493181360935996115132295737783080965898240,-0.601576
3329727,1777830819,28,469831174,0x1c010e06,111081199247446961787113671595175206061949804148229337533042917376,1.298359
3329728,1777830832,13,469831908,0x1c0110e4,112260691771933060649361471770953619412201101145665907474154127360,1.061829
